,anno,Fertilità
0,1950,2.523306
1,1951,2.376164
2,1952,2.323133
3,1953,2.285007
4,1954,2.348772
5,1955,2.342924
6,1956,2.350668
7,1957,2.348449
8,1958,2.325983
9,1959,2.387183
10,1960,2.38425
11,1961,2.420258
12,1962,2.451344
13,1963,2.519524
14,1964,2.662496
15,1965,2.617088
16,1966,2.587979
17,1967,2.50862
18,1968,2.489813
19,1969,2.469826
20,1970,2.395911
21,1971,2.398336
22,1972,2.350912
23,1973,2.31514
24,1974,2.292175
25,1975,2.177386
26,1976,2.056291
27,1977,1.938872
28,1978,1.841471
29,1979,1.733309
30,1980,1.646557
31,1981,1.582186
32,1982,1.560581
33,1983,1.506211
34,1984,1.457758
35,1985,1.41552
36,1986,1.351088
37,1987,1.329694
38,1988,1.355212
39,1989,1.328247
40,1990,1.33136
41,1991,1.303249
42,1992,1.295504
43,1993,1.248886
44,1994,1.208166
45,1995,1.188457
46,1996,1.197173
47,1997,1.20984
48,1998,1.209901
49,1999,1.227858
50,2000,1.249141
51,2001,1.247049
52,2002,1.264335
53,2003,1.285254
54,2004,1.336843
55,2005,1.332469
56,2006,1.364324
57,2007,1.392588
58,2008,1.435089
59,2009,1.438605
60,2010,1.443038
61,2011,1.426568
62,2012,1.41601
63,2013,1.379659
64,2014,1.363634
65,2015,1.344468
66,2016,1.33595
67,2017,1.316956
68,2018,1.285618
69,2019,1.259071
70,2020,1.241822
71,2021,1.25223
72,2022,1.24
73,2023,1.197728
74,2024,1.205761
75,2025,1.213962
76,2026,1.219334
