,anno,nati_per_1000_abitanti
0,1950,19.676
1,1951,18.551
2,1952,18.074
3,1953,17.767
4,1954,18.349
5,1955,18.249
6,1956,18.274
7,1957,18.233
8,1958,18.026
9,1959,18.423
10,1960,18.257
11,1961,18.393
12,1962,18.474
13,1963,18.851
14,1964,19.725
15,1965,19.175
16,1966,18.768
17,1967,18.026
18,1968,17.754
19,1969,17.49
20,1970,16.862
21,1971,16.771
22,1972,16.318
23,1973,16.005
24,1974,15.787
25,1975,14.95
26,1976,14.093
27,1977,13.279
28,1978,12.625
29,1979,11.915
30,1980,11.339
31,1981,11.012
32,1982,10.932
33,1983,10.633
34,1984,10.38
35,1985,10.166
36,1986,9.795
37,1987,9.726
38,1988,9.989
39,1989,9.881
40,1990,9.988
41,1991,9.861
42,1992,9.945
43,1993,9.616
44,1994,9.288
45,1995,9.15
46,1996,9.253
47,1997,9.329
48,1998,9.29
49,1999,9.363
50,2000,9.442
51,2001,9.328
52,2002,9.332
53,2003,9.354
54,2004,9.62
55,2005,9.461
56,2006,9.516
57,2007,9.49
58,2008,9.64
59,2009,9.499
60,2010,9.348
61,2011,9.075
62,2012,8.811
63,2013,8.432
64,2014,8.179
65,2015,7.917
66,2016,7.725
67,2017,7.496
68,2018,7.215
69,2019,6.978
70,2020,6.81
71,2021,6.815
72,2022,6.705
73,2023,6.464
