,Year,housing price
0,1927,0.2464546666999698
1,1928,0.2374666723418034
2,1929,0.2270615262718457
3,1930,0.2128266797731826
4,1931,0.19119024395972284
5,1932,0.17700478357512164
6,1933,0.15989093003010366
7,1934,0.15628163419937188
8,1935,0.16043633956354
9,1936,0.1641796313637706
10,1937,0.16910502030468372
11,1938,0.17417817091382426
12,1939,0.18703345882718309
13,1940,0.22868810431754572
14,1941,0.2453958267139622
15,1942,0.27274499632799715
16,1943,0.4367735831351176
17,1944,1.6313981028411697
18,1945,5.187033395147472
19,1946,8.266280510984943
20,1947,12.304595906252441
21,1948,14.800131626619233
22,1949,14.487401499358418
23,1950,14.85858782286517
24,1951,17.716698899432288
25,1952,18.351537197003623
26,1953,18.731444593842326
27,1954,19.744847522294247
28,1955,20.462589590689717
29,1956,21.272062646731477
30,1957,22.041269672982953
31,1958,22.482441101536743
32,1959,22.68324871421546
33,1960,23.53206913165614
34,1961,24.886717369771677
35,1962,27.02720311664036
36,1963,29.834904122549574
37,1964,33.38321162872733
38,1965,33.70117803156313
39,1966,34.482889252423526
40,1967,35.15561406178276
41,1968,38.37812997783528
42,1969,39.86468772729739
43,1970,42.38822615850348
44,1971,43.72383102391426
45,1972,47.81924839991583
46,1973,52.318300661532945
47,1974,99.25808443262794
48,1975,101.49940660234675
49,1976,127.42392364594646
50,1977,136.1759093364883
51,1978,150.88725236262218
52,1979,186.7057464804565
53,1980,256.1211020530217
54,1981,331.0659274000762
55,1982,374.9407113080418
56,1983,404.6226425307455
57,1984,410.3621337091323
58,1985,419.47837527205894
59,1986,428.1089423384725
60,1987,450.6632721664043
61,1988,510.35857463983757
62,1989,604.0674997913608
63,1990,728.2623443523829
64,1991,833.2533567945259
65,1992,957.5433673041892
66,1993,985.5352825424052
67,1994,969.7475798212965
68,1995,987.7175361922779
69,1996,1024.2743868081893
70,1997,1050.9536682720457
71,1998,1052.5025761257898
72,1999,1065.32044493241
73,2000,1113.9994684545313
74,2001,1187.9959158996112
75,2002,1320.0173393402517
76,2003,1402.8346857490271
77,2004,1499.8777006874236
78,2005,1606.4176209833106
79,2006,1698.4037143059873
80,2007,1774.9007290912218
81,2008,1802.7154387698993
82,2009,1790.2290099913046
83,2010,1775.6883093558374
84,2011,1786.2779823304827
85,2012,1706.620801733478
86,2013,1609.0
87,2014,1539.2708559046587
88,2015,1502.6630552546046
