,Anno,MediaAnnua
0,1950,12.740885925
1,1951,12.217301999999998
2,1952,12.4971581
3,1953,12.267427208333332
4,1954,11.665380554166665
5,1955,12.363504516666667
6,1956,11.315093991666666
7,1957,12.182076100000002
8,1958,12.329468008333334
9,1959,12.320127841666666
10,1960,12.394809141666668
11,1961,12.977102808333333
12,1962,12.018633883333335
13,1963,11.5876766775
14,1964,12.051780658333334
15,1965,11.562932433333332
16,1966,12.087197991666665
17,1967,12.21173328333333
18,1968,11.969254424999997
19,1969,11.774908783333332
20,1970,12.041513458333332
21,1971,11.938781758333333
22,1972,11.849134425000003
23,1973,12.020541733333333
24,1974,11.993592533333333
25,1975,12.096315133333334
26,1976,11.699116900000002
27,1977,12.279121341666668
28,1978,11.56153525
29,1979,11.913547441666667
30,1980,11.352841191666664
31,1981,11.884517483333333
32,1982,12.532320183333333
33,1983,12.237329766666667
34,1984,11.536098299999999
35,1985,12.116173308333336
36,1986,12.145834475000001
37,1987,12.280625966666667
38,1988,12.613687866666666
39,1989,12.303659875
40,1990,12.667102058333334
41,1991,11.820924208333333
42,1992,12.545629566666669
43,1993,12.483923575
44,1994,13.416948
45,1995,12.391437974999997
46,1996,12.203577483333332
47,1997,13.0385203
48,1998,12.910877316666665
49,1999,12.958424991666668
50,2000,13.33087885
51,2001,13.123934108333332
52,2002,13.151781583333333
53,2003,13.376730216666667
54,2004,12.819341708333333
55,2005,12.271480058333333
56,2006,13.010700008333336
57,2007,13.383341141666667
58,2008,13.248412291666668
59,2009,13.254895783333334
60,2010,12.570264
61,2011,13.38039635
62,2012,13.405064066666666
63,2013,13.068585883333332
64,2014,13.719563066666666
65,2015,13.734694833333334
66,2016,13.549909958333336
67,2017,13.504548650000002
68,2018,13.81486655
69,2019,13.724120124999999
70,2020,13.708100700000001
71,2021,13.434562858333335
72,2022,14.372976583333333
73,2023,14.328290616666665
